word,initial,centroid_hz,voicing_onset_s
收穫,ㄕ,4179.0,0.171
行搶,ㄒ,5632.2,0.1569
山巔,ㄕ,4256.7,0.1423
香菸,ㄒ,5662.0,0.1317
身邊,ㄕ,4183.5,0.1608
升天,ㄕ,4081.8,0.151
稀少,ㄒ,5754.8,0.1707
辛勞,ㄒ,5816.3,0.1712
薰陶,ㄒ,4490.0,0.1602
新潮,ㄒ,5785.7,0.1717
熄滅,ㄒ,5606.9,0.2008
實驗,ㄕ,4036.0,0.1959
現實,ㄒ,5612.2,0.1553
數理,ㄕ,4735.6,0.1752
沙發,ㄕ,4085.5,0.1416
傷身,ㄕ,4095.8,0.1324
搜刮,ㄙ,5585.6,0.1623
損失,ㄙ,5709.0,0.1565
殺價,ㄕ,4037.5,0.1504
行房,ㄒ,5627.2,0.1618
幸運,ㄒ,5620.8,0.1457
信譽,ㄒ,5675.0,0.1459
宿醉,ㄙ,5745.5,0.161
嬉戲,ㄒ,5786.5,0.1953
香氣,ㄒ,5720.8,0.1465
神仙,ㄕ,4089.8,0.1851
笑容,ㄒ,5634.9,0.1403
校園,ㄒ,5591.0,0.1425
掃地,ㄙ,5518.6,0.1503
手上,ㄕ,4135.6,0.1455
希望,ㄒ,5734.2,0.2159
