word_1,zhuyin_1,word_2,zhuyin_2,word_3,zhuyin_3,word_4,zhuyin_4
動身,ㄉㄨㄥˋ ㄕㄣ,眾生,ㄓㄨㄥˋ ㄕㄥ,供神,ㄍㄨㄥˋ ㄕㄣˊ,共生,ㄍㄨㄥˋ ㄕㄥ
堡壘,ㄅㄠˇ ㄌㄟˇ,蘆葦,ㄌㄨˊ ㄨㄟˇ,寶島,ㄅㄠˇ ㄉㄠˇ,跑壘,ㄆㄠˇ ㄌㄟˇ
隊員,ㄉㄨㄟˋ ㄩㄢˊ,桂圓,ㄍㄨㄟˋ ㄩㄢˊ,會員,ㄏㄨㄟˋ ㄩㄢˊ,匯錢,ㄏㄨㄟˋ ㄑㄧㄢˊ
殘害,ㄘㄢˊ ㄏㄞˋ,存在,ㄘㄨㄣˊ ㄗㄞˋ,拳賽,ㄑㄩㄢˊ ㄙㄞˋ,航太,ㄏㄤˊ ㄊㄞˋ
開拓,ㄎㄞ ㄊㄨㄛˋ,收穫,ㄕㄡ ㄏㄨㄛˋ,脫落,ㄊㄨㄛ ㄌㄨㄛˋ,週末,ㄓㄡ ㄇㄛˋ
扶養,ㄈㄨˊ ㄧㄤˇ,圖表,ㄊㄨˊ ㄅㄧㄠˇ,行搶,ㄒㄧㄥˊ ㄑㄧㄤˇ,冥想,ㄇㄧㄥˊ ㄒㄧㄤˇ
牽手,ㄑㄧㄢ ㄕㄡˇ,堅守,ㄐㄧㄢ ㄕㄡˇ,煙斗,ㄧㄢ ㄉㄡˇ,親手,ㄑㄧㄣ ㄕㄡˇ
山巔,ㄕㄢ ㄉㄧㄢ,香菸,ㄒㄧㄤ ㄧㄢ,身邊,ㄕㄣ ㄅㄧㄢ,升天,ㄕㄥ ㄊㄧㄢ
竹筍,ㄓㄨˊ ㄙㄨㄣˇ,蘆筍,ㄌㄨˊ ㄙㄨㄣˇ,毀損,ㄏㄨㄟˇ ㄙㄨㄣˇ,主審,ㄓㄨˇ ㄕㄣˇ
儲蓄,ㄔㄨˊ ㄒㄩˋ,如意,ㄖㄨˊ ㄧˋ,廚具,ㄔㄨˊ ㄐㄩˋ,除夕,ㄔㄨˊ ㄒㄧˋ
金錶,ㄐㄧㄣ ㄅㄧㄠˇ,煎餃,ㄐㄧㄢ ㄐㄧㄠˇ,稀少,ㄒㄧ ㄕㄠˇ,春曉,ㄔㄨㄣ ㄒㄧㄠˇ
辛勞,ㄒㄧㄣ ㄌㄠˊ,煎熬,ㄐㄧㄢ ㄠˊ,薰陶,ㄒㄩㄣ ㄊㄠˊ,新潮,ㄒㄧㄣ ㄔㄠˊ
波浪,ㄅㄛ ㄌㄤˋ,玻棒,ㄅㄛ ㄅㄤˋ,衝浪,ㄔㄨㄥ ㄌㄤˋ,播放,ㄅㄛˋ ㄈㄤˋ
核能,ㄏㄜˊ ㄋㄥˊ,合成,ㄏㄜˊ ㄔㄥˊ,合同,ㄏㄜˊ ㄊㄨㄥˊ,荷蘭,ㄏㄜˊ ㄌㄢˊ
熄滅,ㄒㄧˊ ㄇㄧㄝˋ,實驗,ㄕˊ ㄧㄢˋ,靈驗,ㄌㄧㄥˊ ㄧㄢˋ,皮件,ㄆㄧˊ ㄐㄧㄢˋ
價值,ㄐㄧㄚˋ ㄓˊ,電池,ㄉㄧㄢˋ ㄔˊ,現實,ㄒㄧㄢˋ ㄕˊ,建築,ㄐㄧㄢˋ ㄓㄨˊ
職位,ㄓˊ ㄨㄟˋ,辭退,ㄘˊ ㄊㄨㄟˋ,蘆薈,ㄌㄨˊ ㄏㄨㄟˋ,疲憊,ㄆㄧˊ ㄅㄟˋ
罐頭,ㄍㄨㄢˋ ㄊㄡˊ,卷軸,ㄐㄩㄢˋ ㄓㄡˊ,控球,ㄎㄨㄥˋ ㄑㄧㄡˊ,戶頭,ㄏㄨˋ ㄊㄡˊ
巨大,ㄐㄩˋ ㄉㄚˋ,巨蛋,ㄐㄩˋ ㄉㄢˋ,懼怕,ㄐㄩˋ ㄆㄚˋ,木柵,ㄇㄨˋ ㄓㄚˋ
竹竿,ㄓㄨˊ ㄍㄢ,爬山,ㄆㄚˊ ㄕㄢ,圖刊,ㄊㄨˊ ㄎㄢ,存單,ㄘㄨㄣˊ ㄉㄢ
婦女,ㄈㄨˋ ㄋㄩˇ,數理,ㄕㄨˋ ㄌㄧˇ,副理,ㄈㄨˋ ㄌㄧˇ,護理,ㄏㄨˋ ㄌㄧˇ
過敏,ㄍㄨㄛˋ ㄇㄧㄣˇ,作品,ㄗㄨㄛˋ ㄆㄧㄣˇ,佈景,ㄅㄨˋ ㄐㄧㄥˇ,貨品,ㄏㄨㄛˋ ㄆㄧㄣˇ
沙發,ㄕㄚ ㄈㄚ,傷身,ㄕㄤ ㄕㄣ,插花,ㄔㄚ ㄏㄨㄚ,搜刮,ㄙㄡ ㄍㄨㄚ
走失,ㄗㄡˇ ㄕ,損失,ㄙㄨㄣˇ ㄕ,導師,ㄉㄠˇ ㄕ,老師,ㄌㄠˇ ㄕ
車輛,ㄔㄜ ㄌㄧㄤˋ,殺價,ㄕㄚ ㄐㄧㄚˋ,擦亮,ㄘㄚ ㄌㄧㄤˋ,春夏,ㄔㄨㄣ ㄒㄧㄚˋ
嘆氣,ㄊㄢˋ ㄑㄧˋ,淡季,ㄉㄢˋ ㄐㄧˋ,放棄,ㄈㄤˋ ㄑㄧˋ,看戲,ㄎㄢˋ ㄒㄧˋ
銀行,ㄧㄣˊ ㄏㄤˊ,平常,ㄆㄧㄥˊ ㄔㄤˊ,情郎,ㄑㄧㄥˊ ㄌㄤˊ,行房,ㄒㄧㄥˊ ㄈㄤˊ
舅媽,ㄐㄧㄡˋ ㄇㄚ,舊傷,ㄐㄧㄡˋ ㄕㄤ,用餐,ㄩㄥˋ ㄘㄢ,誘發,ㄧㄡˋ ㄈㄚ
成熟,ㄔㄥˊ ㄕㄡˊ,蟾蜍,ㄔㄢˊ ㄔㄨˊ,乘除,ㄔㄥˊ ㄔㄨˊ,純熟,ㄔㄨㄣˊ ㄕㄡˊ
幸運,ㄒㄧㄥˋ ㄩㄣˋ,信譽,ㄒㄧㄣˋ ㄩˋ,禁慾,ㄐㄧㄣˋ ㄩˋ,定律,ㄉㄧㄥˋ ㄌㄩˋ
花瓶,ㄏㄨㄚ ㄆㄧㄥˊ,發明,ㄈㄚ ㄇㄧㄥˊ,瓜皮,ㄍㄨㄚ ㄆㄧˊ,芳名,ㄈㄤ ㄇㄧㄥˊ
誤會,ㄨˋ ㄏㄨㄟˋ,議會,ㄧˋ ㄏㄨㄟˋ,入會,ㄖㄨˋ ㄏㄨㄟˋ,宿醉,ㄙㄨˋ ㄗㄨㄟˋ
機器,ㄐㄧ ㄑㄧˋ,激進,ㄐㄧ ㄐㄧㄣˋ,嬉戲,ㄒㄧ ㄒㄧˋ,香氣,ㄒㄧㄤ ㄑㄧˋ
人間,ㄖㄣˊ ㄐㄧㄢ,房間,ㄈㄤˊ ㄐㄧㄢ,晨間,ㄔㄣˊ ㄐㄧㄢ,神仙,ㄕㄣˊ ㄒㄧㄢ
笑容,ㄒㄧㄠˋ ㄖㄨㄥˊ,倦容,ㄐㄩㄢˋ ㄖㄨㄥˊ,掉頭,ㄉㄧㄠˋ ㄊㄡˊ,校園,ㄒㄧㄠˋ ㄩㄢˊ
整潔,ㄓㄥˇ ㄐㄧㄝˊ,貞節,ㄓㄣ ㄐㄧㄝˊ,搶劫,ㄑㄧㄤˇ ㄐㄧㄝˊ,終結,ㄓㄨㄥ ㄐㄧㄝˊ
眼淚,ㄧㄢˇ ㄌㄟˋ,演戲,ㄧㄢˇ ㄒㄧˋ,蕨類,ㄐㄩㄝˊ ㄌㄟˋ,絕對,ㄐㄩㄝˊ ㄉㄨㄟˋ
聽見,ㄊㄧㄥ ㄐㄧㄢˋ,偏見,ㄆㄧㄢ ㄐㄧㄢˋ,低賤,ㄉㄧ ㄐㄧㄢˋ,天線,ㄊㄧㄢ ㄒㄧㄢˋ
歌星,ㄍㄜ ㄒㄧㄥ,孤星,ㄍㄨ ㄒㄧㄥ,真心,ㄓㄣ ㄒㄧㄣ,甘心,ㄍㄢ ㄒㄧㄣ
辦法,ㄅㄢˋ ㄈㄚˇ,燙髮,ㄊㄤˋ ㄈㄚˇ,看法,ㄎㄢˋ ㄈㄚˇ,立法,ㄌㄧˋ ㄈㄚˇ
